model,n_sentences,mean_CER,mean_WER,mean_CTC_CER,mean_SemER,n_sub,n_del,n_ins,sub_rate
Conformer,62,0.6902491190741139,0.9303763448711364,0.5111248370620513,0.09728883579373357,945,316,358,0.5836936380481779
BiMamba2,62,0.5817027351548595,0.7637096816493619,0.5135242117028083,0.0943282739289345,728,486,149,0.5341159207630227
Mamba3Hybrid,62,0.6087389676080596,0.7529569989250552,0.5386537231745259,0.09704350794274957,889,366,176,0.6212438853948288
