comparison,metric,mean_Conformer,mean_BiMamba2,delta,ci_lo,ci_hi,p_bootstrap,p_wilcoxon,cohens_dz,cliffs_delta
Conformer - BiMamba2,CER,0.6902491190741139,0.5817027351548595,0.10854638391925443,0.065968251132196,0.1535500071221782,0.0,4.7656606638641075e-06,0.6173069972964752,0.44562955254942765
Conformer - BiMamba2,WER,0.9303763448711364,0.7637096816493619,0.16666666322177456,0.09314179757549879,0.24489247297207195,0.0,0.0004256692064594371,0.538785280908674,0.4284599375650364
Conformer - BiMamba2,CTC_CER,0.5111248370620513,0.5135242117028083,-0.002399374640757038,-0.0329265896771704,0.027921502923052163,0.8846,1.0,-0.019003559174688,0.006243496357960458
Conformer - BiMamba2,SemER,0.09728883579373357,0.0943282739289345,0.002960561864799067,-0.0013491501911513319,0.007219624321066562,0.183,0.15163949371302582,0.16955916576312408,0.15556711758584807
