comparison,metric,mean_BiMamba2,mean_Mamba3Hybrid,delta,ci_lo,ci_hi,p_bootstrap,p_wilcoxon,cohens_dz,cliffs_delta
BiMamba2 - Mamba3Hybrid,CER,0.5817027351548595,0.6087389676080596,-0.027036232453200124,-0.06633526566588589,0.011672946543342626,0.169,0.2255906690373889,-0.17110403002712976,-0.13033298647242456
BiMamba2 - Mamba3Hybrid,WER,0.7637096816493619,0.7529569989250552,0.010752682724306661,-0.043686156095035615,0.06384408139894086,0.6952,0.8271670681771136,0.049221939770301835,0.04864724245577524
BiMamba2 - Mamba3Hybrid,CTC_CER,0.5135242117028083,0.5386537231745259,-0.02512951147171759,-0.05035933170227273,0.0007202728080653383,0.0554,0.04370392166173855,-0.23674743748001706,-0.1186264308012487
BiMamba2 - Mamba3Hybrid,SemER,0.0943282739289345,0.09704350794274957,-0.002715234013815087,-0.006521412674638059,0.001283942078871106,0.1818,0.04685160519117756,-0.1694853872862636,-0.12747138397502603
