comparison,metric,mean_Conformer,mean_Mamba3Hybrid,delta,ci_lo,ci_hi,p_bootstrap,p_wilcoxon,cohens_dz,cliffs_delta
Conformer - Mamba3Hybrid,CER,0.6902491190741139,0.6087389676080596,0.0815101514660543,0.0342794491398719,0.13006395995917336,0.0,0.0019545345508370582,0.426825785800956,0.336888657648283
Conformer - Mamba3Hybrid,WER,0.9303763448711364,0.7529569989250552,0.17741934594608122,0.10806450896686123,0.24946235435143593,0.0,4.4378304443917234e-05,0.6183575012040905,0.49895941727367327
Conformer - Mamba3Hybrid,CTC_CER,0.5111248370620513,0.5386537231745259,-0.02752888611247463,-0.04915811549271307,-0.005795182714298855,0.0142,0.025679304820695,-0.30736507188672385,-0.12330905306971904
Conformer - Mamba3Hybrid,SemER,0.09728883579373357,0.09704350794274957,0.00024532785098397945,-0.004460149295928515,0.004706249857741971,0.9092,0.44857953795436867,0.013261982483326,0.04604578563995838
